Abbreviation,Site,County,State,Latitude,Longitude,Ecoregion (Level III),Ecoregion (Level IV)
MCCG104,Mammoth Cave Campground,Edmonson,KY,37.183055,-86.099281,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG105,Mammoth Cave Campground,Edmonson,KY,37.183212,-86.099175,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG106,Mammoth Cave Campground,Edmonson,KY,37.183180,-86.099380,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG107,Mammoth Cave Campground,Edmonson,KY,37.183178,-86.099258,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG108,Mammoth Cave Campground,Edmonson,KY,37.183080,-86.099289,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG109,Mammoth Cave Campground,Edmonson,KY,37.183063,-86.099289,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG110,Mammoth Cave Campground,Edmonson,KY,37.183080,-86.099220,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG111,Mammoth Cave Campground,Edmonson,KY,37.183092,-86.099205,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG112,Mammoth Cave Campground,Edmonson,KY,37.183133,-86.099189,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG113,Mammoth Cave Campground,Edmonson,KY,37.183147,-86.099275,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG114,Mammoth Cave Campground,Edmonson,KY,37.183217,-86.099153,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG115,Mammoth Cave Campground,Edmonson,KY,37.183353,-86.099144,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG116,Mammoth Cave Campground,Edmonson,KY,37.183480,-86.099136,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG117,Mammoth Cave Campground,Edmonson,KY,37.183805,-86.099456,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG118,Mammoth Cave Campground,Edmonson,KY,37.183620,-86.099778,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG119,Mammoth Cave Campground,Edmonson,KY,37.183612,-86.099808,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG120,Mammoth Cave Campground,Edmonson,KY,37.183658,-86.099725,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG121,Mammoth Cave Campground,Edmonson,KY,37.183695,-86.099761,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG122,Mammoth Cave Campground,Edmonson,KY,37.183712,-86.099686,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG123,Mammoth Cave Campground,Edmonson,KY,37.183737,-86.099792,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG124,Mammoth Cave Campground,Edmonson,KY,37.183720,-86.099717,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCCG125,Mammoth Cave Campground,Edmonson,KY,37.183703,-86.099686,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER101,Mammoth Cave Echo River Trail,Edmonson,KY,37.179203,-86.107056,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER102,Mammoth Cave Echo River Trail,Edmonson,KY,37.179095,-86.107208,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER103,Mammoth Cave Echo River Trail,Edmonson,KY,37.179003,-86.106903,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER104,Mammoth Cave Echo River Trail,Edmonson,KY,37.178862,-86.107781,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER105,Mammoth Cave Echo River Trail,Edmonson,KY,37.178995,-86.107103,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER106,Mammoth Cave Echo River Trail,Edmonson,KY,37.178888,-86.106942,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER107,Mammoth Cave Echo River Trail,Edmonson,KY,37.178833,-86.107422,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER108,Mammoth Cave Echo River Trail,Edmonson,KY,37.179005,-86.107339,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER109,Mammoth Cave Echo River Trail,Edmonson,KY,37.178795,-86.107125,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER110,Mammoth Cave Echo River Trail,Edmonson,KY,37.178888,-86.106667,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER111,Mammoth Cave Echo River Trail,Edmonson,KY,37.178945,-86.107108,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER112,Mammoth Cave Echo River Trail,Edmonson,KY,37.178678,-86.106955,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER113,Mammoth Cave Echo River Trail,Edmonson,KY,37.178753,-86.106981,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER114,Mammoth Cave Echo River Trail,Edmonson,KY,37.178803,-86.107208,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER115,Mammoth Cave Echo River Trail,Edmonson,KY,37.178645,-86.107208,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER116,Mammoth Cave Echo River Trail,Edmonson,KY,37.178670,-86.107147,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER117,Mammoth Cave Echo River Trail,Edmonson,KY,37.178775,-86.107270,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER118,Mammoth Cave Echo River Trail,Edmonson,KY,37.178922,-86.107270,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER119,Mammoth Cave Echo River Trail,Edmonson,KY,37.178770,-86.107253,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER120,Mammoth Cave Echo River Trail,Edmonson,KY,37.178722,-86.107156,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER121,Mammoth Cave Echo River Trail,Edmonson,KY,37.178755,-86.107178,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER122,Mammoth Cave Echo River Trail,Edmonson,KY,37.178897,-86.107344,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER123,Mammoth Cave Echo River Trail,Edmonson,KY,37.178845,-86.107056,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCER124,Mammoth Cave Echo River Trail,Edmonson,KY,37.178825,-86.107056,Interior Plateau (71),Crawford-Mammoth Cave Uplands (71a)
MCMS101,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.209167,-86.133055,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS102,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.209050,-86.133408,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS103,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208863,-86.133483,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS104,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208813,-86.133383,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS105,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208842,-86.133453,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS106,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208837,-86.133422,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS107,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208842,-86.133408,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS108,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208830,-86.133470,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS109,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208770,-86.133492,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS110,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208705,-86.133544,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS117,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208875,-86.132928,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS118,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.209013,-86.133055,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS119,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.209022,-86.133033,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS120,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208980,-86.133020,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS121,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208925,-86.133142,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS122,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208830,-86.133103,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCMS123,Mammoth Cave Mill Branch Trail,Edmonson,KY,37.208880,-86.133055,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP104,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243787,-86.189445,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP105,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.244025,-86.189430,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP106,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243995,-86.189513,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP107,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243925,-86.189658,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP108,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243967,-86.189680,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP109,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243855,-86.189680,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP110,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.244005,-86.189713,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP111,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243855,-86.189772,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP112,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.244020,-86.189767,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP113,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.244028,-86.189745,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP114,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243988,-86.189728,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP115,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243978,-86.189780,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MCWP116,Mammoth Cave Wet Prong Trail,Edmonson,KY,37.243888,-86.189720,Interior River Valleys and Hills (72),Caseyville Hills (72h)
MW01,Maywoods-North,Garrard,KY,37.484891,-84.434028,Interior Plateau (71),Knobs-Norman Upland (71c)
PF301,Poplar Flat Trail,Bullitt,KY,37.9124382,-85.6520715,Interior Plateau (71),Knobs-Norman Upland (71c)
PF302,Poplar Flat Trail,Bullitt,KY,37.9124214,-85.6521269,Interior Plateau (71),Knobs-Norman Upland (71c)
PF303,Poplar Flat Trail,Bullitt,KY,37.9124726,-85.6519319,Interior Plateau (71),Knobs-Norman Upland (71c)
PF305,Poplar Flat Trail,Bullitt,KY,37.9125582,-85.6520075,Interior Plateau (71),Knobs-Norman Upland (71c)
PF306,Poplar Flat Trail,Bullitt,KY,37.9125050,-85.6520062,Interior Plateau (71),Knobs-Norman Upland (71c)
PF307,Poplar Flat Trail,Bullitt,KY,37.9124412,-85.6521172,Interior Plateau (71),Knobs-Norman Upland (71c)
PF308,Poplar Flat Trail,Bullitt,KY,37.9123974,-85.6519522,Interior Plateau (71),Knobs-Norman Upland (71c)
PF309,Poplar Flat Trail,Bullitt,KY,37.9125187,-85.6520255,Interior Plateau (71),Knobs-Norman Upland (71c)
PF310,Poplar Flat Trail,Bullitt,KY,37.9125288,-85.6520814,Interior Plateau (71),Knobs-Norman Upland (71c)
PF311,Poplar Flat Trail,Bullitt,KY,37.9124712,-85.6520289,Interior Plateau (71),Knobs-Norman Upland (71c)
PF312,Poplar Flat Trail,Bullitt,KY,37.9124070,-85.6519655,Interior Plateau (71),Knobs-Norman Upland (71c)
RF006,Robinson Forest Site 3,Breathitt,KY,37.468838,-83.135300,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
SCC301,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037250,-83.5904301,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC302,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037286,-83.5903941,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC303,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037436,-83.5903514,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC304,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037033,-83.5902515,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC305,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037239,-83.5904163,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC306,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038499,-83.5903781,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC307,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039003,-83.5903259,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC308,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039304,-83.5903037,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC309,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038592,-83.5902766,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC310,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038713,-83.5902874,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC311,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038938,-83.5902839,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC312,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038396,-83.5902500,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC313,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039132,-83.5902564,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC314,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039197,-83.5902531,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC315,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8038653,-83.5901912,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC316,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039717,-83.5902806,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC317,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039629,-83.5903767,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC318,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039438,-83.5903662,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC319,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8039514,-83.5902903,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC320,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8041140,-83.5902967,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC321,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8041533,-83.5902400,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC322,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8041800,-83.5902222,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC323,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8043412,-83.5902011,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC324,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8043267,-83.5901508,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC325,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8035705,-83.5904095,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC326,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8035499,-83.5903884,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC327,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8035531,-83.5904221,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC328,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8034081,-83.5904240,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC329,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8033466,-83.5903817,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC330,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8033180,-83.5904863,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC331,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8033615,-83.5906245,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC332,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8036953,-83.5902,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC333,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037738,-83.5902070,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC334,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037276,-83.5900929,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC335,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037098,-83.5901976,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC336,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8037109,-83.5901502,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC337,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.8036433,-83.5902443,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
SCC338,Red River Gorge Swift Camp Creek Trail,Wolfe,KY,37.80366,-83.5902145,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
TDJ301,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7674002,-84.6290789,Interior Plateau (71),Inner Bluegrass (71l)
TDJ302,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7674076,-84.6289603,Interior Plateau (71),Inner Bluegrass (71l)
TDJ303,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673109,-84.6291336,Interior Plateau (71),Inner Bluegrass (71l)
TDJ304,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673755,-84.6291405,Interior Plateau (71),Inner Bluegrass (71l)
TDJ305,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7674451,-84.6293678,Interior Plateau (71),Inner Bluegrass (71l)
TDJ306,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7672886,-84.6292701,Interior Plateau (71),Inner Bluegrass (71l)
TDJ307,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673916,-84.6292924,Interior Plateau (71),Inner Bluegrass (71l)
TDJ308,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7672867,-84.6292475,Interior Plateau (71),Inner Bluegrass (71l)
TDJ309,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7672886,-84.6291608,Interior Plateau (71),Inner Bluegrass (71l)
TDJ310,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673518,-84.6290607,Interior Plateau (71),Inner Bluegrass (71l)
TDJ311,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673104,-84.6290270,Interior Plateau (71),Inner Bluegrass (71l)
TDJ312,Palisades Tom Dorman Trail (Jesse Brim Rd.),Garrard,KY,37.7673249,-84.6291231,Interior Plateau (71),Inner Bluegrass (71l)
TDX302,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664527,-84.6193321,Interior Plateau (71),Inner Bluegrass (71l)
TDX303,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664716,-84.6193378,Interior Plateau (71),Inner Bluegrass (71l)
TDX304,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664572,-84.6191556,Interior Plateau (71),Inner Bluegrass (71l)
TDX305,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7665201,-84.6192911,Interior Plateau (71),Inner Bluegrass (71l)
TDX306,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664458,-84.6192456,Interior Plateau (71),Inner Bluegrass (71l)
TDX307,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664915,-84.6193206,Interior Plateau (71),Inner Bluegrass (71l)
TDX308,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664444,-84.6192635,Interior Plateau (71),Inner Bluegrass (71l)
TDX309,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664300,-84.6192825,Interior Plateau (71),Inner Bluegrass (71l)
TDX310,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7663772,-84.6192766,Interior Plateau (71),Inner Bluegrass (71l)
TDX311,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7664304,-84.6192256,Interior Plateau (71),Inner Bluegrass (71l)
TDX312,Palisades Tom Dorman Trail (Rt. 27),Garrard,KY,37.7665460,-84.6191885,Interior Plateau (71),Inner Bluegrass (71l)
WBT01,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7852101,-83.6655878,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT02,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7852648,-83.6656276,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT03,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7853133,-83.6656299,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT04,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7859716,-83.6637932,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT05,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7858719,-83.663815,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT06,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7859683,-83.6637703,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT07,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7859558,-83.6637437,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT08,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7858735,-83.6637027,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT09,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7859317,-83.6637119,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT10,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7860562,-83.6637625,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT11,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7860116,-83.6637406,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
WBT12,Red River Gorge Whittleton Branch Trail,Powell,KY,37.7860095,-83.6637694,Western Allegheny Plateau (70),Northern Forested Plateau Escarpment (70g)
